Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;600;600;600;;601$a;;606$a;606$a;;607$a;;300$a;330$a
MEM BRO;23131937;16;Carnet de travail en cinq actes;Sur un processus de création scénographique;Broisin;Lucie;Tuteur de mémoire : Bruno Tackels;2013;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Décorateurs de théâtre;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM NEV;23131949;16;Passage Piéton et Crocodiles;Les dispositifs émancipés;Neveu;Alice;;2013;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Art de performance;Géographie urbaine;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM BRA;23131950;16;Créativité, innovation et design graphique;;Brand;Alexandre;Tuteurs de mémoire : Olivier Deloignon et Charlet Denner;2013;fre;;;;;;Haute école des arts du Rhin;;Communication visuelle;Créativité;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle;
MEM ALE;23131962;16;Corps abrité / Corps exposé;;Alessandro;Anthony d';;2013;fre;;;;;;Haute école des arts du Rhin;;Corps humain;Art de performance;Art dans la rue;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM CRI;23131974;16;Qu'apportent les political games ?;;Cribier;Abel;Tuteur de mémoire : Charlet Denner;2013;fre;;;;;;Haute école des arts du Rhin;;Jeux vidéo;Politique;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle;
MEM LEE;23131986;16;Une image, un récit;Les enjeux narratifs dans le graphisme d'information;Lee;Jieun;Tuteur de mémoire : Sandra Chamaret;2013;fre;;;;;;Haute école des arts du Rhin;;Infographie;Storytelling;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle;
MEM EMA;23131998;16;L'expression créatrice;Une ouverture aux limites de l'école;Emaille;Aurore;Tuteur de mémoire : Olivier Deloignon;2013;fre;;;;;;Haute école des arts du Rhin;;Pédagogie;Art et enfants;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle;
MEM MAL;2313200X;16;La fausse information;Guide du faux;Malecamp;Guillaume;Tuteur de mémoire : Olivier Deloignon;2013;fre;;;;;;Haute école des arts du Rhin;;Faux et supercheries artistiques;Diffusion d'informations fausses et trompeuses;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle;
MEM NOE;23132023;16;La greffe de visage, source d'incompréhension entre médecins et non-initiés;;Noël-Dupont;Solène;Tutrice de mémoire : Sandrine Israël-Jost;2013;fre;;;;;;Haute école des arts du Rhin;;Greffe (chirurgie);;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle;
MEM DAV;23132035;16;Construction du sens dans l'idéographie chinoise;;Daviau;Jonathan;Tuteurs de mémoire : Guillaume Dégé;2013;fre;;;;;;Haute école des arts du Rhin;;Ecriture chinoise;Livres sans texte;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM BUC;23132059;16;La traversée de l'écran;3D, les nouvelles lois de l'attraction populaire;Buchet;Emmanuelle;Tuteur de mémoire : Franck Knoery;2013;fre;;;;;;Haute école des arts du Rhin;;Imagerie tridimensionnelle;Cinéma en relief;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM LAV;23132060;16;La présence de la maladie dans Black Hole de Charles Burns et l'Ascension du Haut Mal de David B.;;Laval;Amélie;Tuteurs de mémoire : Jean-Paul Meyer, Michèle Finck et Marianne Gayko-Roth;2013;fre;;;;;;Haute école des arts du Rhin;;Maladies;Sémiotique et bandes dessinées;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM BIL;23132084;16;Modèles implicites et usages du portrait photographique amateur des réseaux sociaux;;Billès;Léo-Paul;Tuteur de mémoire : Franck Knoery;2013;fre;;;;;;Haute école des arts du Rhin;;Photographie d'amateurs;Réseaux sociaux;Art et photographie;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM SIF;23132137;16;Misérable beauté;Tentative d'épuisement de l'emballage;Sifflet;Flora;;2013;fre;;;;;;Haute école des arts du Rhin;;Emballages;;;;;Mémoire de DNSEP option Design;
MEM YOO;23132149;16;Les pieds nus à habiter;;Yoo;Ji Yeon;;2013;fre;;;;;;Haute école des arts du Rhin;;Pied;Habitations;;;;Mémoire de DNSEP option Design;
MEM DER;23132162;16;Chambre libre;;Der Agopian;Margaux;Sous la direction de Pierre Doze;2013;fre;;;;;;Haute école des arts du Rhin;;Chambres à coucher;Bien-être;;;;Mémoire de DNSEP option Design;
MEM LEV;23134058;16;Le graphisme d'auteur;Postures et impostures;Levi;Marie;Mémoire réalisé sous la direction d'Olivier Deloignon;2013;fre;;;;;;Haute école des arts du Rhin;;Graphistes;;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM LEV;2313406X;16;Le graphisme d'auteur;Postures et impostures;Levi;Marie;Mémoire réalisé sous la direction d'Olivier Deloignon;2013;fre;;;;;;Haute école des arts du Rhin;;Graphistes;;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM RIV;23134071;16;Transparence Camouflage Opacité;Une analyse du travail de Metahaven sur WikiLeaks;Rivers-Moore;Samuel;Tuteur de mémoire : Pierre Doze;2013;fre;;;;;;Haute école des arts du Rhin;;Metahaven;Wikileaks;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM TAN;23134083;16;Les imaginaires des représentations scientifiques;;Tandille;Pierre;Tuteur de mémoire : Olivier Deloignon;2013;fre;;;;;;Haute école des arts du Rhin;;Illustration scientifique;Médias et technologie;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM PAS;23134095;16;Quel design graphique pour une société contributive ?;;Pasquereau;Nicolas;Sous le tutorat d'Olivier Deloignon;2013;fre;;;;;;Haute école des arts du Rhin;;Arts graphiques;Réseaux sociaux;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM BOU;23134100;16;Re Branding;;Boutrou;Gauthier;;2013;fre;;;;;;Haute école des arts du Rhin;;Arts graphiques;Marques de commerce;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM KOS;23134112;16;Caractère russe;;Kosmynina;Evgenia;Tuteur de mémoire : Pierre Doze;2013;fre;;;;;;Haute école des arts du Rhin;;Alphabet cyrillique;;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM BLI;23134124;16;Comprendre l'ornement aujourd'hui;statut et renouvellement dans le design graphique contemporain;Blind;Caroline;Sous la direction d'Olivier Deloignon;2013;fre;;;;;;Haute école des arts du Rhin;;Alphabets (décoration);;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM BOU;2313415X;16;Photographies d'adolescents;Quelle est l'origine de la photographie d'adolescents aujourd'hui ? Quelles en sont les conséquences ?;Boucher;Amandine;sous la direction de Alain Willaume;2013;fre;;;;;;Haute école des arts du Rhin;;Adolescents;;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM FRA;23134173;16;Le point-virgule du photographe;ou le flou en photographie;Frayssinet;Florie;Tuteur de mémoire : Alain Willaume;2013;fre;;;;;;Haute école des arts du Rhin;;Flou (esthétique);Art et photographie;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM CUN;23134185;16;L'affiche à l'ère du numérique et des réseaux sociaux;;Cunha;Mickaël;sous la direction de Jérôme Saint-Loubert Bié;2013;fre;;;;;;Haute école des arts du Rhin;;Design interactif;Editorialisation (information éléctronique);;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM ROD;23134197;16;Nid d'ici, nid d'ailleurs;;Rodier;Amandine;Sous la direction de Pierre Doze;2013;fre;;;;;;Haute école des arts du Rhin;;Vie en maison mobile;;;;;Mémoire de DNSEP option Design;
MEM AGE;23134202;16;Symétrie;;Agez;Jérôme;Sous la direction de Pierre Doze;2013;fre;;;;;;Haute école des arts du Rhin;;Symétrie;Design;;;;Mémoire de DNSEP option Design;
MEM PAO;23134226;16;Apprenez lui à cultiver et il mangera toute sa vie;;Paoli;Alix;;2013;fre;;;;;;Haute école des arts du Rhin;;Développement durable;Design durable;;;;Mémoire de DNSEP option Design;
MEM TEY;23250675;16;EXCLUSIF;Les unes comme vous ne les avez jamais vues;Teyssedre;Tina;Mémoire dirigé par Sandra Chamaret;2021;fre;;;;;;Haute école des arts du Rhin;;Presse;Journaux;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM FER;23250699;16;Peindre le corps pour le rendre parlant;La pratique du body paint dans la société occidentale contemporaine;Fermé;Maud;Mémoire dirigé par Olivier Deloignon;2021;fre;;;;;;Haute école des arts du Rhin;;Art corporel;Art de performance;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM GAR;23250704;16;L'écran est une case comme une autre;Formes et enjeux de la bande dessinée didactique non-fictionnelle francophone en ligne;Garraud;Salomé;Mémoire dirigé par André Bilher;2021;fre;Remedium;;;;;Haute école des arts du Rhin;;Bandes dessinées en éducation;Bandes dessinées sur le web;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM TIS;23250716;16;Pou-voir;L'impact inconscient des images sur nos perceptions;Tisserand;Laura;Mémoire dirigé par Sandra Chamaret;2021;fre;;;;;;Haute école des arts du Rhin;;Sémiotique;Illustrations, images, etc.;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM RUF;23250728;16;La pratique des arts plastiques pour accompagner les deuils;;Ruffray;Léa de;Mémoire dirigé par Olivier Deloignon;2021;fre;;;;;;Haute école des arts du Rhin;;Personnes endeuillées;Art-thérapeutes;Art-thérapie;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM TOU;2325073X;16;Auteur, éditeur et graphiste de manuel scolaire;La répartition des rôles dans l'élaboration du contenu pédagogique appliqué au manuel de français de 6e;Toussaint;Jeanne;Mémoire dirigé par Olivier-Marc Nadel;2021;fre;;;;;;Haute école des arts du Rhin;;Technologie éducative;Matériel didactique;Manuels d'enseignement;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM HER;23250741;16;Peut-on vraiment faire de la recherche par image ?;Le pari anthropologique;Herbelin;Joséphine;Mémoire dirigé par Thomas Soriano;2021;fre;;;;;;Haute école des arts du Rhin;;Illustrations, images, etc.;;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM LEM;23250753;16;Les boîtes noires;Ouverture, fermeture et rapports de pouvoir en environnement numérique;Lemarié;Félicie;Mémoire dirigé par Anne Laforêt;2021;fre;;;;;;Haute école des arts du Rhin;;Internautes;Internet;Interfaces utilisateur (informatique);;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM PUZ;23250765;16;Sur les traces d’un pays conté;Étude de la transmission orale et culturelle au sein de la communauté juive devenue française d'Algérie;Puzenat;Hannah;Mémoire dirigé par Alexandra David;2021;fre;;;;;;Haute école des arts du Rhin;;Pieds-noirs;;;Algérie;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM JOU;23250777;16;Komorebi;Comment représenter la diversité fonctionnelle et corporelle dans la fiction contemporaine (littérature jeunesse, romans, cinéma...) ?;Jouan;Alice;Mémoire dirigé par Sandra Chamaret;2021;fre;;;;;;Haute école des arts du Rhin;;Handicap;;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM LEP;23250789;16;Déluge de canapé;Émergence des sujets féministes dans le podcast français, comme enjeu de transmission horizontale.;Lepetit;Clémentine;Mémoire dirigé par Sandra Chamaret;2021;fre;;;;;;Haute école des arts du Rhin;;Podcasting;Féminisme;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM CAR;23250790;16;In/Hospitalité;Communication visuelle hospitalière & systèmes d'orientation;Carneau;Alice;Mémoire dirigé par Olivier Poncer;2021;fre;;;;;;Haute école des arts du Rhin;;Signaux et signalisation;Hopîtaux;Communication visuelle;;;"Mémoire de DNSEP option Communication, atelier de didactique visuelle.
L'hospitalité et l'hôpital : une racine commune, un sensfondamentalement indissociable. Il faut malgré tout biendes efforts pour construire un environnement accueillant,mais aussi efficient, autour de la vulnérabilité humaine,de la maladie et de la souffrance. Un effort relationnel,et un effort matériel, qui permettront la mise en placed'un lieu d'échanges, de soins, et de soutien...Aujourd'hui, le monde hospitalier se révèle à traversde nombreuses disciplines, desquelles la communicationvisuelle se démarque comme un allier improbable. Outreles clivages culturels et sociaux, l'hôpital doit apprendreà gérer une quantité d'informations exponentielles, etdes flux constants de visiteurs soumis à un rythme saccadéd'imprévus et de frustrations.Et c'est dans ce contexte que le design et la signalétiqueoffrent un support, à la fois psychologique et physique.Mais la valeur de ces designs d'orientation et de communicationvisuels est bien trop souvent sous-estimée, négligée.Pourtant, entre faciliter les parcours, améliorer les échanges,influencer le bien-être... ces systèmes peuvent nous aiderà composer une nouvelle forme d'hospitalité, une meilleureconception d'accueil et d'accompagnement au sein de cetétrange microcosme hospitalier.";
MEM CHA;23250806;16;Poliokommo;Le conte scientifique, passeur de savoirs contemporain;Chabot;Adèle;Mémoire dirigé par Olivier Poncer;2021;fre;;;;;;Haute école des arts du Rhin;;Contes;Pédagogie;Sciences;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM PER;2325091X;16;Carrefours;Entre imaginaires sociaux et pratiques sociales dans les lieux publics à Port-au-Prince;Périclès;Nathania;Mémoire réalisé sous la direction de Thomas Voltzenlogel;2021;fre;;;;;;Haute école des arts du Rhin;;Zombis;Théâtre;Vaudou;Haïti;Port-au-Prince (Haïti);Mémoire de DNSEP option Art, atelier de scénographie : En supposant que l’imaginaire soit le produit d'un processus individuel, influencé par le mode d'organisation des sociétés, de quelle façon l’imaginaire relie l'individu à son espace ?Dans la majorité des sociétés et dans la plupart des cultures, les espaces environnants sont souvent composés de normes et d’interdits. Ces normes et interdits varient selon les milieux sociaux et peuvent prendre différentes formes en fonction des croyances et des mythes de ces sociétés. Par exemple « Un carrefour routier est au sens propre la zone comprise à l’intérieur du prolongement des bordures 1». Cependant, en Haïti, un carrefour peut évoquer plusieurs choses à la fois. Pour un haïtien fidèle aux traditions, il est avant tout un passage obligé, marginalisé qui peut relier plusieurs énergies et qui ouvre sur plusieurs possibilités. Le jour et la nuit ne renvoient pas au même symbolisme en Haïti. Si le jour reste un espace ordinaire, cependant la nuit est toute autre chose. A différents moments, elle est un lieu symbolique où se rassemblent des sociétés de toutes sortes pour des guérisons, des voeux, des demandes, des sacrifices, des remerciements etc.2. Traverser un carrefour la nuit en Haïti a ses risques et périls. C’est à la fois un acte de foi et une relation entre les objets et les sujets constituant le monde. Il faut une bonne immersion dans la ville, dans le pays en entier pour saisir cette manière de percevoir, cette dimension sacrée, ce côté invisible de l’acte théâtral présent dans les carrefours en Haïti. Il faut en quelque sorte partagé l’inconscient collectif haïtien.À travers cette réalité des carrefours en Haïti, il y a une manière d’inventer, d’imaginer de raconter et de construire qui est propre à la dramaturgie même. Cette manière de raconter change notre manière d’interpeler le public, en nous dévoilant une autre façon de se réapproprier l’espace public par la présence. Ce que l’Histoire raconte sur les pratiques qui ont lieu dans les carrefours au milieu de la nuit en Haïti nous permet de repenser ces espaces en tant que scénographe de manière à faire d’eux des scènes théâtrales fructueuses où les gens peuvent voyager d’un monde à un autre.;
MEM GRA;23250933;16;Trucs;;Grandcoin;Anton;Mémoire réalisé sous la direction de ?;2021;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM DIE;23250945;16;Ré-enchanter notre rapport au monde;Le théâtre comme outil du merveilleux;Diébold;Louise;Mémoire réalisé sous la direction de ?;2021;fre;;;;;;Haute école des arts du Rhin;;Féeries;Merveilleux;Paysage;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM VEN;23250957;16;.J'ai pas les codes.;;Vendrand-Maillet;Elie;Mémoire réalisé sous la direction de ?;2021;fre;;;;;;Haute école des arts du Rhin;;Abécédaire;Art de performance;;;;Mémoire de DNSEP option Art, atelier de scénographie : Ce mémoire est un objet en construction, une forme transitoire entre mes pratiques et leurs représentations. Quelque chose que je verrais me suivre, dans lequel viendrais se rajouter des lignes, raturer, redéfinir. Une extension de ma pensée, des images que j’ai pu sortir, et qui se développe. Je commence tout juste à savoir marcher.;
MEM LEB;23250969;16;Scènes;;Lebrun;Elena;Mémoire réalisé sous la direction de ?;2021;fre;Kantor, Tadeusz(1915-1990);Jean-PaulpapeII(1920-2005);Grotowski, Jerzy(1933-1999);;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM VEN;23250982;16;D'une vie sensible commune, à un souffle commun;;Vidalainq;Sibylle;Mémoire réalisé sous la direction de ?;2021;fre;Belaza, Nacera19..-....;De Keersmaeker, Anne Teresa(1960-....);;;;Haute école des arts du Rhin;;Danse;Artistes de la danse;Victimes de viol;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM RAV;23352795;16;Impressions d'espace;;Ravault;Cécile;;1988;fre;;;;;;;;Espace (art);;;;;Mémoire de DNSEP soutenu à l'école municipale des arts décoratifs de Strasbourg en juin 1988;
MEM LAP;23356834;16;L'arpenteur;;Laperrière;Lucas;Mémoire dirigé par Anne Bertrand;2018;fre;;;;;;Haute école des arts du Rhin;;Marche;Espace et temps;;;;Mémoire DNSEP Art Objet, Atelier Métal;
MEM GUE;23356846;16;Terre j'y verse (des trouvailles et du feu);;Guérin;Camille;Mémoire dirigé par Jean-François Gavoty;2018;fre;;;;;;Haute école des arts du Rhin;;Céramique;;;;;Mémoire DNSEP Art Objet, Atelier Terre;
MEM GIR;23356858;16;Comment réussir sa lune de miel;;Girard;Angéline;Mémoire dirigé par Cyrille Bret;2018;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art Objet, Atelier livre;
MEM PLA;2335686X;16;De long en large et à travers;;Planhard;Elise;Mémoire dirigé par Sandrine Israël-Jost;2018;fre;;;;;;Haute école des arts du Rhin;;Espace (art);Espace;;;;Mémoire DNSEP Art Objet, Atelier Terre;
MEM DEF;23356883;16;Je ne sais pas y jouer;;Defrance;Juliette;Mémoire dirigé par Nicolas Fourgeaud;2018;fre;;;;;;Haute école des arts du Rhin;;Femmes artistes;Féminisme;Corps humain;;;Mémoire DNSEP Art Objet;
MEM KOE;23356936;16;Formes et enjeux de la bande dessinée non-linéaire;;Koelsch;Léonie;Tuteur de mémoire : Finzo;2018;fre;;;;;;Haute école des arts du Rhin;;Bandes dessinées;Bandes dessinées;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM NOU;23356948;16;Homobilité;se mettre en marche et en œuvre dans le monde;Noulin;Alice;Tuteur de mémoire : Charlet Denner;2018;fre;;;;;;Haute école des arts du Rhin;;Marche;Voyage;Solitude;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM DEL;2335695X;16;(Métal) Hurlant, grinçant et agonisant !;La science-fiction de Métal Hurlant, son influence : de l'édition aux salles de projections, de 1975 à aujourd'hui;Delage;Léon;Tuteur de mémoire : Olivier Deloignon;2018;fre;;;;;;Haute école des arts du Rhin;;Bandes dessinées;Bandes dessinées de science-fiction;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM HAR;23356961;16;"I'm still me, but I'm not somehow.""""";Immersion et expérience dans le jeu-vidéo narratif;Harrivelle;Pierre-Baptiste;Tuteur de mémoire : Charlet Denner;2018;fre;;;;;;Haute école des arts du Rhin;;Jeux vidéo;;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle.;
MEM SEY;23358219;16;L'animal et l'animalité dans l'art actuel;Recherches sur les fondements et les aspects d'une idée;Seyedin;Marjan;"Thèse dirigée par Daniel Payot
Rapporteurs : Olivier Lussac et Jean-François Robic
Autres membres du jury : Germain Roez et Daniel Schlier";2015;fre;;;;;;;;Animaux;;;;;;
MEM SAL;23358400;16;Viiiiivant;;Salama;Aliette;Mémoire dirigé par Anne Laforêt;2017;fre;;;;;;Haute école des arts du Rhin;;Vie (philosophie);;;;;Mémoire DNSEP Art, Hors format;
MEM FRO;23360816;16;From science fact to science fiction;;Fromager;Florian;Mémoire dirigé par Loïc Horrelou;2018;fre;;;;;;Haute école des arts du Rhin;;Science-fiction;;;;;Mémoire DNSEP Communication Graphique année 2017/2018.;
MEM WAL;23361192;16;Zusammenhänge;;Wallentin;Jamila;Mémoire dirigé par Jean-François Gavoty;2018;fre;;;;;;Haute école des arts du Rhin;;Bijoux;Objets usuels;;;;Mémoire DNSEP Art Objet;
MEM KIM ANNEXES;23361372;16;Une chambre à moi;;Kim;Jin;Sous la direction de Pierre Doze;2018;fre;;;;;;Haute école des arts du Rhin;;Design;Chambre à coucher;;;;Mémoire de DNSEP option Design 2018.;
MEM KIM;23361384;16;Une chambre à moi;;Kim;Jin;Sous la direction de Pierre Doze;2018;fre;;;;;;Haute école des arts du Rhin;;Design;Chambre à coucher;;;;Mémoire de DNSEP option Design 2018.;
MEM FLO;23361396;16;Welcome to PDX;;Flore;Irina Diana;Sous la direction de Pierre Doze;2018;fre;;;;;;Haute école des arts du Rhin;;Design;;;Portland (Oregon, Etats-Unis);;Mémoire de DNSEP option Design 2018.;
MEM FER;23361401;16;A la conquête des utopies immédiates;;Ferrandery;Emma;Sous la direction de Pierre Doze;2018;fre;;;;;;Haute école des arts du Rhin;;Design;Utopies architecturales;Cours d'eau;;;Mémoire de DNSEP option Design 2018.;
MEM BEG;23361425;16;Timiel;De l'enquête de terrain aux formes d'un design situé;Begon;Harmonie;Sous la direction de Pierre Doze et Cyrille Bret;2018;fre;;;;;;Haute école des arts du Rhin;;Design;Céramique;Marchands d'oeuvres d'art;;;Mémoire de DNSEP option Design 2018.;
MEM KHE;23361527;16;Les interactions entre les artistes et les galeristes;Mémoire de sociologie;Khelifi;Abden-Nasser;sous la direction de Monsieur Patrick Tenoudji;2018;fre;;;;;;;;Artistes;;;;;Mémoire de sociologie mené sous la direction de Monsieur Patrick Tenoudji, UFR de sociologie, Université de Strasbourg, Session 2018;
MEM BEY;23362071;16;Hypotypose;;Beyrend;Morgane;Mémoire dirigé par Jean-François Gavoty;2018;fre;;;;;;Haute école des arts du Rhin;;Bijoux;;;;;Mémoire DNSEP Art Objet, Atelier Bijou;
MEM CHE;23362083;16;Des yeux sans sommeil;mémoire audiovisuel, accompagné de son script;Chevanse;Marine;Mémoire dirigé par Jean-François Gavoty;2018;fre;;;;;;Haute école des arts du Rhin;;Bijoux;;;;;Mémoire DNSEP Art Objet, Atelier Bijou.;
MEM PON;23362100;16;Dissimulation dans la parure;Les cibles latentes de la séduction;Pontie;Claire;Mémoire dirigé par Jean-François Gavoty;2018;fre;Künzli, Otto(1948-....);;;;;Haute école des arts du Rhin;;Bijoux;;;;;Mémoire DNSEP Art Objet, Atelier Bijou;
MEM REB;23362112;16;Atelier partagé, structure du quotidien;;Rébillard;Mathilde;Mémoire dirigé par Cyrille Bret;2018;fre;;;;;;Haute école des arts du Rhin;;Ateliers d'artistes;;;;;Mémoire DNSEP Art Objet, Atelier Verre;
MEM PRE;23362136;16;Jeux de mains;;Preira;Cannelle;Mémoire dirigé par Jean-François Gavoty;2018;fre;;;;;;Haute école des arts du Rhin;;Jeux de mains;;;;;Mémoire DNSEP Art Objet;
MEM LEF;23362148;16;Consistance Cuir;;Lefevre;Eden;Mémoire dirigé par Jean-François Gavoty;2018;fre;;;;;;Haute école des arts du Rhin;;Sirènes;Féminisme;Corps humain;;;Mémoire DNSEP Art Objet;
MEM KIE;23362161;16;modes de résistance, mises en réseau, et intersectionnalité en Europe post-socialiste;Le cas de la Bulgarie et de l'espace post-Yougoslavie;Kieffer;Victoria;Mémoire dirigé par Anne Laforêt;2018;fre;;;;;;Haute école des arts du Rhin;;Art et politique;;;;;Mémoire DNSEP Art Objet;
MEM POL;23362197;16;Ce que la cuisine fait à l'art contemporain;;Polack;Bérengère;Mémoire dirigé par Anne Bertrand;2018;fre;;;;;;Haute école des arts du Rhin;;Cuisine;;;;;Mémoire DNSEP Art Objet;
MEM ANG;23362214;16;Walkabout;;Angoumois;Arnaud;Mémoire dirigé par Anne Bertrand;2018;fre;;;;;;Haute école des arts du Rhin;;Art et mythologie;Passé (philosophie);Artistes;;;Mémoire DNSEP Art Objet;
MEM LUO;23362251;16;[Mémoire];;Luo;Jianhui;Mémoire dirigé par Francisco Ruiz de Infante;2018;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art, groupe Hors-Format, année 2017/2018.;
MEM BUR;23362263;16;Histoires courtes dans le milieu;Pour une pratique de l'attention;Burucoa;Laura;Mémoire dirigé par Nicolas Fourgeaud;2018;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art, groupe No Name, année 2017/2018.;
MEM LEJ;23362275;16;Le sourire est un sport dans lequel je n'ai jamais été très bon;;Lejeune;Maël;Mémoire dirigé par Thomas Soriano;2018;fre;;;;;;Haute école des arts du Rhin;;Sourire;;;;;Mémoire DNSEP Art, groupe Peintures, année 2017/2018.;
MEM BON;23362287;16;Les contours de l'absence s'il y a paysage;;Bonnifait;Hugo;Mémoire dirigé par Nicolas Fourgeaud;2018;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art, groupe No Name, année 2017/2018.;
MEM MAS;23362299;16;"clip-2001-07-17 23;;46;51.dv";;Massard;Adèle;Mémoire dirigé par Sandrine Israël-Jost;2018;fre;;;;;;Haute école des arts du Rhin;;Mémoire;;;;;Mémoire DNSEP Art, groupe storytellers, année 2017/2018.;
MEM ROU;23362304;16;Allers-Retours;;Rousset;Jade;Mémoire dirigé par Sandrine Israel-Jost;2018;fre;;;;;;Haute école des arts du Rhin;;Création (esthétique);Artistes;;;;Mémoire DNSEP Art, groupe Peintures, année 2017/2018.;
MEM COT;23362316;16;Mes Moires et l'engage;;Cottet;Hélène;Mémoire dirigé par Philippe Lepeut;2018;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art, groupe Peintures, année 2017/2018.;
MEM ROC;23362328;16;Chemins d'Urun;Paysages, Incantations, Heroic Fantasy et Géographies imaginaires;Roche, de la;Gabriel;Mémoire dirigé par Sandrine Israël-Jost;2018;fre;;;;;;Haute école des arts du Rhin;;Mythologie;;;;;Mémoire DNSEP Art, groupe No Name, année 2017/2018.;
MEM BIZ;2336233X;16;Débordements et contagions;Du réel à la fiction, et retour;Bizeul;Léo;Mémoire dirigé par Nicolas Fourgeaud;2018;fre;;;;;;Haute école des arts du Rhin;;Cinéma;;;;;Mémoire DNSEP Art, groupe storytellers, année 2017/2018.;
MEM MOY;23362341;16;Slack Off!;;Moyaux;Anouk;Mémoire dirigé par Sandrine Israel Jost;2018;fre;;;;;;Haute école des arts du Rhin;;Cinéma;;;;;Mémoire DNSEP Art, groupe No Name, année 2017/2018.;
MEM WAN;23362353;16;Isolation de l'infra mince ! Comment isoler;;Wang;Xiaosi;Mémoire dirigé par Thomas Soriano;2018;fre;Duchamp, Marcel (1887-1968);;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art, groupe Hors Format, année 2017/2018.;
MEM CAS;23362377;16;Malinchxs;;Castel;Lucie;Mémoire dirigé par Nicolas Fourgeaud;2018;fre;;;;;;Haute école des arts du Rhin;;Tarot (divination);Art;;;;Mémoire DNSEP Art, groupe No Name, année 2017/2018.;
MEM RIC;23362389;16;La tourbière;;Richter;Quentin;Mémoire dirigé par Anne Bertrand;2018;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire DNSEP Art, groupe Peintures, année 2017/2018.;
MEM KER;23362390;16;Ingrats;Autorité et protocole : vers de nouvelles formes de narration;Kerssenbrock;Emma;Mémoire dirigé par Joachim Montessuis;2018;fre;;;;;;Haute école des arts du Rhin;;Identité (psychologie);Normal (philosophie);;;;Mémoire DNSEP Art, groupe Phonon, année 2017/2018.;
