Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;600;600;600;;601$a;;606$a;606$a;;607$a;;300$a;330$a
MEM MAN;2305704X;16;Indistinction;La faculté de juger à l'état critique;Manowicz;Caroline;Sous la direction de Pierre Doze;2017;fre;;;;;;Haute école des arts du Rhin;;Magasins;Urbanisme;;;;Mémoire de DNSEP option Design. Diplôme 2017.;
MEM COA;23057051;16;La ville imperméable;;Coat;Jonathan;Sous la direction de Pierre Doze et d'Alexandra Pignol;2017;fre;;;;;;Haute école des arts du Rhin;;Fleuves;Rivières;Ecologie d'eau douce;;;Mémoire de DNSEP option Design. Diplôme 2017.;
MEM AUB;23057099;16;Penser avec ses mains;;Aubin;Albane;Sous la direction de Pierre Doze et Alexandra Pignol;2017;fre;;;;;;Haute école des arts du Rhin;;Design;Construction mécanique;;;;Mémoire de DNSEP option Design. Mémoire daté 2016, pour le diplôme 2017.;
MEM BEN;23057116;16;Apnée;;Bentkowski;Louise Michelle;Tuteurs de mémoire : François Duconseille et Muriel Ryngaert;2017;fre;;;;;;Haute école des arts du Rhin;;Scénographie;;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM PIN;2305713X;16;cheminement cheminer chemin le schéma;;Pinheiro;Maria Florinda;Tutrice de mémoire : Muriel Ryngaert;2017;fre;Clark, Lygia(1920-1988);Oiticica, Hélio(1937-1980);;;;Haute école des arts du Rhin;;Scénographie;;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM VIL;23057141;16;29 secondes en périphérie;;Villatte;Elise;Tuteur de mémoire : Jean-Christophe Lanquetin;2017;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Ruines dans l'art;Ruines (esthétique);;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM COL;23057153;16;A grand fracas;S'engager dans et par le théâtre contemporain;Colin;Lisa Carmela;Tuteur de mémoire : Jean-Christophe Lanquetin;2017;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Théâtre et société;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM ZHA;23057165;16;Le regard dans le vide;;Zhang;Xiaoyun;Tutrice de mémoire : Muriel Ryngaert;2017;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Vide (philosophie);;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM MEI;23057231;16;Les mises en séquence bizarres;;Meissonnier;Margaux;Tuteur de mémoire : Olivier Deloignon;2017;fre;;;;;;Haute école des arts du Rhin;;"Schéma narratif	";;;;;Mémoire de DNSEP option Communication, atelier d'illustration;"La séquence se définit par la juxtaposition des images (et parfois du texte) au sein de la page et à plus grande échelle, du livre. Cet agencement poursuit un enjeu narratif en suivant une logique factuelle et temporelle qui permet l'émergence du récit. La séquence au sens normale propose une lecture fluide et une identification claire de l'action racontée. De Babar en passant par Astérix, toutes les oeuvres issues de la littérature dessinée sont par essence retransmises par une séquence d'images. On voit cependant croître via les ouvrages de certains auteurs contemporains, de nouveaux modes de narration au sein desquels la séquence est complètement reconsidérée. Les liens entre les vecteurs narratifs sont brouillés voire absents, la  compréhension et la lecture sont mises à mal ; Les mises en séquences bizarres dénouent avec le récit classique et proposent aux lecteurs une expérience de lecture nouvelle. Ainsi, à travers une sélection de livres et l'étude de leurs agencements séquentiels, j'ai tenté dans ce mémoire de comprendre les nouveaux enjeux narratifs auxquels aspirent les auteurs contemporains de ces ovnis graphiques."
MEM LAN;23057255;16;Promenades;La déambulation dans la bande dessinée;Lannes;Paul;Tuteur de mémoire : Olivier Deloignon;2017;fre;;;;;;Haute école des arts du Rhin;;Promenade;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;Parfois, le train d’un récit de bande dessinée déraille, la narration se «désaimente» de l’histoire racontée pour concentrer l’attention du lecteur ailleurs. L’auteur met alors en place des séquences où les personnages ne font que déambuler au sein de différents décors. L’espace-temps se concentre à l’«ici-et-maintenant», sans que le fil lecture de ne soit projeté vers le dénouement d’une intrigue. Ces épisodes peuvent s’étirer sur un livre entier. Il s’avère également que la place du lecteur change durant ces séquences. Il ne peut plus se faire porter par l’envie de connaître le dénouement d’une intrigue mais doit lui-même trouver le moyen de faire naviguer son esprit entre les pages. Il m’intéressait ainsi d’étudier ces passages de flânerie, de plus en plus courants dans la bande dessinée contemporaine, pour en extraire les potentialités et en comprendre la poésie.
